name,party,electorate,chamber,aph_id
Ms Allegra Spender MP,Independent,"Wentworth, New South Wales",House,
Ms Anne Stanley MP,Australian Labor Party,"Werriwa, New South Wales",House,
Senator Jordon Steele-John,Australian Greens,Western Australia,Senate,
"Ms Zali Steggall OAM, MP",Independent,"Warringah, New South Wales",House,
Senator Glenn Sterle,Australian Labor Party,Western Australia,Senate,
Senator Jana Stewart,Australian Labor Party,Victoria,Senate,
Ms Meryl Swanson MP,Australian Labor Party,"Paterson, New South Wales",House,
Hon Angus Taylor MP,Liberal Party of Australia,"Hume, New South Wales",House,
Ms Jess Teesdale MP,Australian Labor Party,"Bass, Tasmania",House,
Hon Dan Tehan MP,Liberal Party of Australia,"Wannon, Victoria",House,
Ms Susan Templeman MP,Australian Labor Party,"Macquarie, New South Wales",House,
Hon Matt Thistlethwaite MP,Australian Labor Party,"Kingsford Smith, New South Wales",House,
"Mr Phillip Thompson OAM, MP",Liberal National Party of Queensland,"Herbert, Queensland",House,
Senator Lidia Thorpe,Independent,Victoria,Senate,
Hon Kate Thwaites MP,Australian Labor Party,"Jagajaga, Victoria",House,
Senator Tammy Tyrrell,Independent,Tasmania,Senate,
Ms Anne Urquhart MP,Australian Labor Party,"Braddon, Tasmania",House,
Mr Tom Venning MP,Liberal Party of Australia,"Grey, South Australia",House,
Mr Aaron Violi MP,Liberal Party of Australia,"Casey, Victoria",House,
Senator Charlotte Walker,Australian Labor Party,South Australia,Senate,
Mr Andrew Wallace MP,Liberal National Party of Queensland,"Fisher, Queensland",House,
Senator the Hon Jess Walsh,Australian Labor Party,Victoria,Senate,
Senator Larissa Waters,Australian Greens,Queensland,Senate,
Ms Elizabeth Watson-Brown MP,Australian Greens,"Ryan, Queensland",House,
Senator the Hon Murray Watt,Australian Labor Party,Queensland,Senate,
Hon Tim Watts MP,Australian Labor Party,"Gellibrand, Victoria",House,
Dr Anne Webster MP,The Nationals,"Mallee, Victoria",House,
Hon Anika Wells MP,Australian Labor Party,"Lilley, Queensland",House,
Senator Peter Whish-Wilson,Australian Greens,Tasmania,Senate,
Hon Rebecca White MP,Australian Labor Party,"Lyons, Tasmania",House,
Senator Ellie Whiteaker,Australian Labor Party,Western Australia,Senate,
Senator Tyron Whitten,One Nation,Western Australia,Senate,
Mr Andrew Wilkie MP,Independent,"Clark, Tasmania",House,
Mr Andrew Willcox MP,Liberal National Party of Queensland,"Dawson, Queensland",House,
Hon Josh Wilson MP,Australian Labor Party,"Fremantle, Western Australia",House,
Mr Rick Wilson MP,Liberal Party of Australia,"O'Connor, Western Australia",House,
Hon Tim Wilson MP,Liberal Party of Australia,"Goldstein, Victoria",House,
Ms Sarah Witty MP,Australian Labor Party,"Melbourne, Victoria",House,
Senator the Hon Penny Wong,Australian Labor Party,South Australia,Senate,
Hon Jason Wood MP,Liberal Party of Australia,"La Trobe, Victoria",House,
Mr Terry Young MP,Liberal National Party of Queensland,"Longman, Queensland",House,
Mr Tony Zappia MP,Australian Labor Party,"Makin, South Australia",House,
